Curso;Seccion;N Interrogacion;Fecha;Vacantes
ICC2312;1;1;18-May;30
IIC3743;1;2;19-May;90
ICS2613;3;1;19-May;120
ICS3313;3;2;19-May;80
ICM3762;1;1;22-May;30
ICM2503;2,1,3;1;22-May;48
ICS2523;3;1;23-May;90
IMM2053;1;1;23-May;40
ICE2533;1;1;23-May;85
ICE3753;1;1;23-May;27
ICM2022;1;1;23-May;60
ICC3214;1;1;23-May;62
ICS1513;2;1;23-May;60
IIC2333;1;1;23-May;140
ICS1513;1;1;23-May;60
ICS3213;1;1;23-May;100
ICS1113;2,1,3,4;1;23-May;520
ICE1514;1;2;24-May;120
ICS2523;2;2;24-May;120
IEE2413;1;2;24-May;60
IEE2103;1;2;24-May;75
ICE2313;1;2;24-May;119
IEE2613;1;2;24-May;60
ICH2124;1;2;24-May;60
IMM2033;1;2;24-May;30
ICH3350;1;2;24-May;25
IIQ2023;3,1,2;2;24-May;60
ICE2623;1;2;25-May;50
ICC1001;1;2;25-May;45
MAT1620;1,2,6,5;2;25-May;300
ICC3264;1;2;26-May;40
IMT2111;1;2;26-May;45
ICM3251;1;2;26-May;20
ICS3762;1;2;26-May;20
IEE3373;1;2;26-May;30
IIQ3643;1;2;26-May;20
IIC3103;1;2;26-May;100
IIC1103;2;2;29-May;120
IIC1103;3;1;29-May;120
IIC1253;3;2;29-May;140
ICE3613;1;2;29-May;20
ICM2803;1;2;29-May;64
ICC3543;1;2;29-May;30
IIC2733;1;2;29-May;55
IEE2463;1;2;29-May;44
IMM2521;1;2;29-May;25
ICE2006;1;1;30-May;120
IIC3113;1;1;30-May;100
IIC3113;2;1;30-May;100
IEE2343;1;1;30-May;10
ICT3523;1;1;30-May;20
IIC2613;1;1;30-May;140
ICC3253;1;1;30-May;30
IMM2213;1;1;30-May;30
IIC2764;1;1;30-May;90
ICT2303;1;1;30-May;60
ICM2313;1;1;30-May;55
ICS2613;2;1;30-May;140
ICC2913;1;1;30-May;40
ICC3914;1;1;30-May;15
ICM2028;1;2;01-Jun;75
IIC2143;2;2;01-Jun;140
ICM2413;1;2;01-Jun;60
MAT1203;2,5,14,4,11,10,6,9,12,7,3,1,8,13;2;01-Jun;1015
ICE2114;1;2;02-Jun;95
ICS3213;4;1;02-Jun;60
ICM2203;1;1;02-Jun;60
IEE2513;1;1;02-Jun;40
ICS2123;3;1;02-Jun;60
ICH2314;1;1;02-Jun;70
IMM3313;1;2;05-Jun;20
ICE2020;1;2;05-Jun;20
IMM2003;1;2;05-Jun;35
ICE3653;1;2;05-Jun;21
ICM2503;5,4;2;05-Jun;33
IMT3130;1;2;06-Jun;40
